Title,Album,Year,artist
Happy All the Time,Glasshouse Children,2021.0,Sam Williams
"Happy, Happy Birthday Baby",The Winning Hand,1982.0,Willie Nelson
He Rode All the Way to Texas,Trio II,1999.0,Emmylou Harris
Healing Hands,Sonya Isaacs,2000.0,Sonya Isaacs
Healing Hands,Sonya Isaacs,2000.0,Vince Gill
Heart Door,Sweet November,2001.0,Paula Cole
Heartbreaker's Alibi,All American Bluegrass Girl,2006.0,Rhonda Vincent
Her and the Car and the Mobile Home,The Right Combination • Burning the Midnight Oil,1972.0,Porter Wagoner
Here Comes the Freedom Train,Single A-side,1973.0,Porter Wagoner
Here You Come Again,Dumplin',2018.0,Willa Amai
High Sierra,Trio II,1999.0,Emmylou Harris
Hobo's Meditation,Trio,1987.0,Emmylou Harris
Hobo's Meditation,Trio,1987.0,Linda Ronstadt
Holding on to Nothin',Just the Two of Us,1968.0,Porter Wagoner
Home Is Where the Hurt Is,Just Between You and Me,1968.0,Porter Wagoner
How Can I (Help You Forgive Me),Say Forever You'll Be Mine,1975.0,Porter Wagoner
How Close They Must Be,We Found It,1973.0,Porter Wagoner
I Am Always Waiting,We Found It,1973.0,Porter Wagoner
I Am Strong,Country Classics with a Bluegrass Spin,2011.0,The Grascals
I Don't Believe You've Met My Baby,"Always, Always",1969.0,Porter Wagoner
I Dreamed of a Hillbilly Heaven,Honky Tonk Angels,1993.0,Loretta Lynn
I Dreamed of a Hillbilly Heaven,Honky Tonk Angels,1993.0,Tammy Wynette
I Feel the Blues Movin' In,Trio II,1999.0,Emmylou Harris
I Forgot More Than You'll Ever Know,Honky Tonk Angels,1993.0,Loretta Lynn
I Forgot More Than You'll Ever Know,Honky Tonk Angels,1993.0,Tammy Wynette
I Know You by Heart,Rainbow,1987.0,Smokey Robinson
I Know You're Married But I Love You Still,Once More,1970.0,Porter Wagoner
I Learned It Well,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
I Never Will Marry,Simple Dreams,1977.0,Linda Ronstadt
I Really Don't Want to Know,Burlap & Satin,1983.0,Willie Nelson
I Still Miss Someone,Timeless,2005.0,Martina McBride
I Washed My Face in the Morning Dew,Just the Two of Us,1968.0,Porter Wagoner
I've Been Married (Just as Long as You Have),We Found It,1973.0,Porter Wagoner
I've Had Enough,Trio,1987.0,Emmylou Harris
I've Had Enough,Trio,1987.0,Linda Ronstadt
I've Had Enough,The Complete Trio Collection,2016.0,Emmylou Harris
I've Had Enough,The Complete Trio Collection,2016.0,Linda Ronstadt
If I Lose,Sandman,1977.0,Herb Pedersen
If I Lose,Sandman,1977.0,Howdy-Cracker Vocal Revue
If I Said You Had a Beautiful Body (Would You Hold It Against Me),"Angels & Outlaws, Vol. 1",2005.0,The Bellamy Brothers
If I Were a Carpenter,Those Were the Days,2005.0,Joe Nichols
If It's All the Same to You,"The First 10 Years, 1956–1966",2011.0,Bill Anderson
If We Don't,Dumplin',2018.0,Alison Krauss
If We Don't,Dumplin',2018.0,Rhonda Vincent
"If You Go, I'll Follow You",Porter & Dolly,1980.0,Porter Wagoner
"If You Go, I'll Follow You","Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
If You Were Mine,Say Forever You'll Be Mine,1975.0,Porter Wagoner
In a Deep Sleep,The Complete Trio Collection,2016.0,Emmylou Harris
In a Deep Sleep,The Complete Trio Collection,2016.0,Linda Ronstadt
In the Garden by the Fountain,Taken,2010.0,Rhonda Vincent
In the Presence of You,Love and Music,1973.0,Porter Wagoner
In the Sweet By-and-By,Country Faith Bluegrass,2021.0,Bradley Walker
In the Sweet By-and-By,Country Faith Bluegrass,2021.0,Carl Jackson
In the Sweet By-and-By,Country Faith Bluegrass,2021.0,Jerry Salley
In the Sweet By-and-By,Country Faith Bluegrass,2021.0,Larry Cordle
Imagine,Those Were the Days,2005.0,David Foster
Is Forever Longer Than Always,Single A-side,1976.0,Porter Wagoner
Islands in the Stream,Eyes That See in the Dark,1983.0,Kenny Rogers
Islands in the Stream,Live from London,2009.0,Richard Dennison
Islands in the Stream,Live from Glastonbury 2014,2016.0,Richard Dennison
It Looked Good on Paper,I'm Torn,2004.0,Randy Kohrs
It Might as Well Be Me,Porter Wayne and Dolly Rebecca,1970.0,Porter Wagoner
It Wasn't God Who Made Honky Tonk Angels,Honky Tonk Angels,1993.0,Kitty Wells
It Wasn't God Who Made Honky Tonk Angels,Honky Tonk Angels,1993.0,Loretta Lynn
It Wasn't God Who Made Honky Tonk Angels,Honky Tonk Angels,1993.0,Tammy Wynette
It's Sure Gonna Hurt,Single A-side,1962.0,The Merry Melody Singers
Just Between You and Me,Just Between You and Me,1968.0,Porter Wagoner
Just Someone I Used to Know,Porter Wayne and Dolly Rebecca,1970.0,Porter Wagoner
Just the Two of Us,Just the Two of Us,1968.0,Porter Wagoner
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Alison Krauss
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Bill Anderson
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Brenda Lee
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Dean Miller
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Dwight Yoakam
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Emmylou Harris
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Eric Church
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Flatt Lonesome
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Glen Phillips
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Jamey Johnson
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Kris Kristofferson
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Lily Meola
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Mandy Barnett
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Merle Haggard
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Radney Foster
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Randy Travis
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Ronnie Dunn
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Shawn Camp
King of the Road,King of the Road: A Tribute to Roger Miller,2018.0,Willie Nelson
Knockin' on Heaven's Door,Heavenly,1997.0,Ladysmith Black Mambazo
Laugh the Years Away,Love and Music,1973.0,Porter Wagoner
Lay Your Hands on Me,Live from Glastonbury 2014,2016.0,Richie Sambora
Leave That Cowboy Alone,Wild Texas Wind,1991.0,Ray Benson
Leave That Cowboy Alone,Beyond Time,2003.0,Ray Benson
Let's Live for Tonight,Once More,1970.0,Porter Wagoner
Life Rides the Train,Say Forever You'll Be Mine,1975.0,Porter Wagoner
Light of the Stable,Light of the Stable,1979.0,Emmylou Harris
Light of the Stable,Light of the Stable,1979.0,Linda Ronstadt
Light of the Stable,Light of the Stable,1979.0,Neil Young
Listen to the Mockingbird,Divided & United: The Songs of the Civil War,2013.0,Stuart Duncan
Looking Down,Together Always,1972.0,Porter Wagoner
Love and Music,Love and Music,1973.0,Porter Wagoner
Love City,We Found It,1973.0,Porter Wagoner
Love Is Here to Stay,Gershwin Country,2022.0,Michael Feinstein
Love Is Out Tonight,Love and Music,1973.0,Porter Wagoner
Love Is Strange,Love Is Strange,1990.0,Kenny Rogers
Love to See Us Through,Say Forever You'll Be Mine,1975.0,Porter Wagoner
Love's All Over,Together Always,1972.0,Porter Wagoner
Lover's Return,Trio II,1999.0,Emmylou Harris
Lover's Return,The Complete Trio Collection,2016.0,Emmylou Harris
Lovesick Blues,Honky Tonk Angels,1993.0,Loretta Lynn
Lovesick Blues,Honky Tonk Angels,1993.0,Patsy Cline
Lovesick Blues,Honky Tonk Angels,1993.0,Tammy Wynette
Loving You Too Well,Clinch Mountain Sweethearts,2001.0,Ralph Stanley
Made for Loving You,Write 'Em Sad–Sing 'Em Lonesome,2010.0,Curly Putman
Making Plans,Porter & Dolly,1980.0,Porter Wagoner
Making Plans,Trio,1987.0,Emmylou Harris
Making Plans,Trio,1987.0,Linda Ronstadt
Making Plans,Actin' Naturally,2000.0,Johnny Russell
Making Plans,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
Making Plans,The Complete Trio Collection,2016.0,Emmylou Harris
Making Plans,The Complete Trio Collection,2016.0,Linda Ronstadt
Mathilda (I Cry and Cry for You),Single A-side,1970.0,John Henry III
Me and Bobby McGee,Those Were the Days,2005.0,Kris Kristofferson
"Milwaukee, Here I Come","Always, Always",1969.0,Porter Wagoner
Mister Sandman,Evangeline,1981.0,Emmylou Harris
Mister Sandman,Evangeline,1981.0,Linda Ronstadt
More Power to Ya,Mountain Songbird,2016.0,Stella Parton
More Than Words Can Tell,The Right Combination • Burning the Midnight Oil,1972.0,Porter Wagoner
My Dear Companion,Trio,1987.0,Emmylou Harris
My Dear Companion,Trio,1987.0,Linda Ronstadt
My Dear Companion,The Complete Trio Collection,2016.0,Emmylou Harris
My Dear Companion,The Complete Trio Collection,2016.0,Linda Ronstadt
My Father's Daughter,Picking Up the Pieces,2015.0,Jewel
My Perfect Reason,Whisperin' Bluegrass,2007.0,Bill Anderson
My Tennessee Hills,Billie's Bones,2004.0,Janis Ian
No Love Left,Porter Wayne and Dolly Rebecca,1970.0,Porter Wagoner
Nobody But You,Dolly,2009.0,The Merry Melody Singers
Old Flames Can't Hold a Candle to You,Rainbow,2017.0,Kesha
On and On,The Right Combination • Burning the Midnight Oil,1972.0,Porter Wagoner
On the Road Again,Wild Texas Wind,1991.0,Ray Benson
On the Road Again,Wild Texas Wind,1991.0,Willie Nelson
Once More,Once More,1970.0,Porter Wagoner
One Angel,Gentle Man,2021.0,Rory Feek
One by One,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
One Day at a Time,Once More,1970.0,Porter Wagoner
Only My Pillow Knows,Born for You,2000.0,Kathie Lee
Our Love,Say Forever You'll Be Mine,1975.0,Porter Wagoner
Ping Pong,The Winning Hand,1982.0,Kris Kristofferson
Pink,Non-album single,2020.0,Jordin Sparks
Pink,Non-album single,2020.0,Monica
Pink,Non-album single,2020.0,Rita Wilson
Pink,Non-album single,2020.0,Sara Evans
Please,Restoration: Reimagining the Songs of Elton John and Bernie Taupin,2018.0,Rhonda Vincent
Please Don't Stop Loving Me,Porter 'n' Dolly,1974.0,Porter Wagoner
Please Help Me I'm Falling (In Love with You),Honky Tonk Angels,1993.0,Loretta Lynn
Please Help Me I'm Falling (In Love with You),Honky Tonk Angels,1993.0,Tammy Wynette
Possum Holler,Two of a Kind,1971.0,Porter Wagoner
Pretty Flowers,The Crow: New Songs for the 5-String Banjo,2009.0,Steve Martin
Pretty Flowers,The Crow: New Songs for the 5-String Banjo,2009.0,Vince Gill
Pretty Paper,A Holly Dolly Christmas,2020.0,Willie Nelson
Push and Pull,Dumplin',2018.0,Danielle Macdonald
Push and Pull,Dumplin',2018.0,Jennifer Aniston
Put a Little Love in Your Heart,Slow Dancing with the Moon,1993.0,The Christ Church Choir
Put It Off Until Tomorrow,Put It Off Until Tomorrow,1966.0,Bill Phillips
Put It Off Until Tomorrow,Just Between You and Me,1968.0,Porter Wagoner
Put It Off Until Tomorrow,The Winning Hand,1982.0,Kris Kristofferson
Put It Off Until Tomorrow,Honky Tonk Angels,1993.0,Loretta Lynn
Put It Off Until Tomorrow,Honky Tonk Angels,1993.0,Tammy Wynette
Rainbowland,Younger Now,2017.0,Miley Cyrus
Real Love,Real Love,1985.0,Kenny Rogers
Road to Bethlehem,The Sounds of Christmas,2018.0,Dailey & Vincent
Rockin' Years,Eagle When She Flies,1991.0,Ricky Van Shelton
Rockin' Years,Burn Your Playhouse Down: The Unreleased Duets,2008.0,George Jones
Rosewood Casket,Trio,1987.0,Emmylou Harris
Rosewood Casket,Trio,1987.0,Linda Ronstadt
Satan's River,We Found It,1973.0,Porter Wagoner
Satisfied,Vestal & Friends,1999.0,Vestal Goodman
Send Me the Pillow That You Dream On,Generations in Song,2001.0,Hank Locklin
Silent Night,The Christ (A Song for Joseph),2005.0,Billy Dean
Silver Threads and Golden Needles,Honky Tonk Angels,1993.0,Loretta Lynn
Silver Threads and Golden Needles,Honky Tonk Angels,1993.0,Tammy Wynette
Singing on the Mountain,Porter & Dolly,1980.0,Porter Wagoner
Singing on the Mountain,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
Sisters,Always Tomorrow,1989.0,Stella Parton
Sittin' on the Front Porch Swing,Honky Tonk Angels,1993.0,Loretta Lynn
Sittin' on the Front Porch Swing,Honky Tonk Angels,1993.0,Tammy Wynette
Sixteen Years,Porter 'n' Dolly,1974.0,Porter Wagoner
Slip Away Today,Just the Two of Us,1968.0,Porter Wagoner
Slippin' Around,The Influence,2004.0,Floyd Tillman
Slowly I'm Falling to Pieces,Everybody's Talkin',2003.0,Paul Brewster
Smoky Mountain Rain,The Duets,2019.0,Ronnie Milsap
"So Little I Wanted, So Little I Got",Single A-side,1960.0,Bill Owens
Softly and Tenderly,Songbird: Rare Tracks and Forgotten Gems,2007.0,Emmylou Harris
Softly and Tenderly,Songbird: Rare Tracks and Forgotten Gems,2007.0,Linda Ronstadt
Someone Just Like You,Porter & Dolly,1980.0,Porter Wagoner
Someone Just Like You,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
Somewhere Between,Just the Two of Us,1968.0,Porter Wagoner
Sorrow's Tearing Down the House (That Happiness Once Built),Just Between You and Me,1968.0,Porter Wagoner
Sounds of Nature,Porter 'n' Dolly,1974.0,Porter Wagoner
Sounds of Night,Love and Music,1973.0,Porter Wagoner
Stand by the River,Stand by the River,2003.0,Dottie Rambo
Take Away,Together Always,1972.0,Porter Wagoner
Tangled Vines,Playlist: The Very Best of Porter Wagoner & Dolly Parton,2012.0,Porter Wagoner
Tell Me That You Love Me,The First 50 Years,2009.0,Kenny Rogers
Telling Me Lies,Trio,1987.0,Emmylou Harris
Telling Me Lies,Trio,1987.0,Linda Ronstadt
Ten Four–Over and Out,Together Always,1972.0,Porter Wagoner
Thank God I'm a Country Boy,Thank God I'm a Country Boy,2004.0,Roy Rivers
That's the Way It Could Have Been,Honky Tonk Angels,1993.0,Loretta Lynn
That's the Way It Could Have Been,Honky Tonk Angels,1993.0,Tammy Wynette
That's When Love Will Mean the Most,We Found It,1973.0,Porter Wagoner
The Angels Rejoiced,"Livin', Lovin', Losin': Songs of the Louvin Brothers",2003.0,Sonya Isaacs
The Blue Train,Trio II,1999.0,Emmylou Harris
The Blues Ain't Workin' on Me,Trouble Free,1996.0,Rhonda Vincent
The Blues Man,Hits I Missed...And One I Didn't,2005.0,George Jones
The Bright Blue Rose,Naked with Friends,2009.0,Maura O'Connell
The Carroll County Accident,Spartanburg Blues,2018.0,Buck Trent
The Dark End of the Street,Just the Two of Us,1968.0,Porter Wagoner
The Day I Fall in Love,Beethoven's 2nd,1993.0,James Ingram
The Fog Has Lifted,The Right Combination • Burning the Midnight Oil,1972.0,Porter Wagoner
The Greatest Gift of All,Once Upon a Christmas,1984.0,Kenny Rogers
The House Where Love Lives,"Always, Always",1969.0,Porter Wagoner
The Last Thing on My Mind,Just Between You and Me,1968.0,Porter Wagoner
The Last Thing on My Mind,Rare Country Legends Live,2009.0,Porter Wagoner
The Last Word in Lonesome Is Me,King of the Road: A Tribute to Roger Miller,2018.0,Alison Krauss
The Love You Gave,"""It's Sure Gonna Hurt"" B-side",1962.0,The Merry Melody Singers
The Pain of Loving You,Two of a Kind,1971.0,Porter Wagoner
The Pain of Loving You,Trio,1987.0,Emmylou Harris
The Pain of Loving You,Trio,1987.0,Linda Ronstadt
The Pain of Loving You,Country Classics with a Bluegrass Spin,2011.0,The Grascals
The Power of Love,Porter 'n' Dolly,1974.0,Porter Wagoner
The Right Combination,The Right Combination • Burning the Midnight Oil,1972.0,Porter Wagoner
The Right Time,Brother Clyde,2010.0,Brother Clyde
There Never Was a Time,"Always, Always",1969.0,Porter Wagoner
There Was Jesus,Rescue Story,2019.0,Zach Williams
There'll Be Love,Two of a Kind,1971.0,Porter Wagoner
This Old House,Gospel Duets with Treasured Friends,2007.0,Brenda Lee
This Time Has Gotta Be Our Last Time,Just Between You and Me,1968.0,Porter Wagoner
Those Memories of You,Trio,1987.0,Emmylou Harris
Those Memories of You,Trio,1987.0,Linda Ronstadt
Those Were the Days,Those Were the Days,2005.0,Mary Hopkin
Those Were the Days,Those Were the Days,2005.0,Porter Wagoner & the Opry Gang
Those Were the Days,Those Were the Days,2005.0,The Moscow Circus
Thoughtfulness,Once More,1970.0,Porter Wagoner
Through Thick and Thin,The Right Combination • Burning the Midnight Oil,1972.0,Porter Wagoner
To Know Him Is to Love Him,Trio,1987.0,Emmylou Harris
To Know Him Is to Love Him,Trio,1987.0,Linda Ronstadt
"Today, Tomorrow and Forever",Two of a Kind,1971.0,Porter Wagoner
Touch of a Dove,Down There,2000.0,Brian Waldschalger
Touching Memories,Porter & Dolly,1980.0,Porter Wagoner
Touching Memories,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
"Train, Train",Eric Lee Beddingfield,2007.0,Eric Lee Beddingfield
True Blue,Les grands espaces,2011.0,Isabelle Boulay
"Turn, Turn, Turn (To Everything There Is a Season)",Those Were the Days,2005.0,Roger McGuinn
Twelfth of Never,Those Were the Days,2005.0,Keith Urban
Two of a Kind,Two of a Kind,1971.0,Porter Wagoner
Two of the Lucky Ones,Lucky Man,2001.0,Hal Ketchum
Two Sides to Every Story,Just Between You and Me,1968.0,Porter Wagoner
Two Sides to Every Story,A Real Live Dolly,1970.0,Porter Wagoner
Unwed Fathers,Where Is a Woman to Go,1984.0,Gail Davies
Violet and a Rose,It's All Relative: Tillis Sings Tillis,2002.0,Pam Tillis
 Viva Las Vegas,The Grascals,2005.0,The Grascals
Wait 'Til I Get You Home,White Limozeen,1989.0,Mac Davis
Waitin' for the Phone to Ring,Up Against My Heart,1991.0,Mac McAnally
Waitin' for the Phone to Ring,Up Against My Heart,1991.0,Patty Loveless
Waldo the Weirdo,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
Waltz Across Texas Tonight,The Complete Trio Collection,2016.0,Emmylou Harris
Waltz Across Texas Tonight,The Complete Trio Collection,2016.0,Linda Ronstadt
Wasting Love,Love and Music,1973.0,Porter Wagoner
Wave to the World,Non-album single,2000.0,Artists for the Paralympic Games
We Can't Let This Happen to Us,Porter Wayne and Dolly Rebecca,1970.0,Porter Wagoner
We Found It,We Found It,1973.0,Porter Wagoner
We'll Get Ahead Someday,Just the Two of Us,1968.0,Porter Wagoner
We're Through Forever ('Til Tomorrow),Heartbreaker,1978.0,Richard Dennison
What Do You Think About Lovin',The Winning Hand,1982.0,Brenda Lee
When I Get Where I'm Going,Time Well Wasted,2005.0,Brad Paisley
When I Stop Dreaming,Luxury Liner,1976.0,Emmylou Harris
When I Stop Dreaming,Cass County,2015.0,Don Henley
"When We're Gone, Long Gone",Trio II,1999.0,Emmylou Harris
When You Tell Me That You Love Me,Crazy,1994.0,Julio Iglesias
Whenever Forever Comes,Slow Dancing with the Moon,1993.0,Collin Raye
Where Do the Children Play,Those Were the Days,2005.0,Yusuf Islam
Where Have All the Flowers Gone,Those Were the Days,2005.0,Lee Ann Womack
Where Have All the Flowers Gone,Those Were the Days,2005.0,Norah Jones
Where the Grass Won't Grow,The Bradley Barn Sessions,1994.0,Emmylou Harris
Where the Grass Won't Grow,The Bradley Barn Sessions,1994.0,George Jones
Where the Grass Won't Grow,The Bradley Barn Sessions,1994.0,Trisha Yearwood
Where the Soul Never Dies,Company's Comin',2021.0,Leslie Jordan
Where Will the Words Come From,The Complete Trio Collection,2016.0,Emmylou Harris
Where Will the Words Come From,The Complete Trio Collection,2016.0,Linda Ronstadt
Why Don't You Haul Off & Love Me,"Always, Always",1969.0,Porter Wagoner
Wings of a Dove,Honky Tonk Angels,1993.0,Loretta Lynn
Wings of a Dove,Honky Tonk Angels,1993.0,Tammy Wynette
Wonderful Christmas Time,Chicago XXXIII: O Christmas Three,2011.0,Chicago
Words,"Greenfields: The Gibb Brothers' Songbook, Vol. 1",2021.0,Barry Gibb
Wouldn't It Be Great,Honky Tonk Angels,1993.0,Loretta Lynn
Wouldn't It Be Great,Honky Tonk Angels,1993.0,Tammy Wynette
You and Me–Her and Him,Together Always,1972.0,Porter Wagoner
You Can't Make Old Friends,You Can't Make Old Friends,2013.0,Kenny Rogers
"""You Can't Say Love Enough"" (JDRF Celebrity Version)",Non-album single,2009.0,Bill Anderson
"""You Can't Say Love Enough"" (JDRF Celebrity Version)",Non-album single,2009.0,Cowboy Troy
"""You Can't Say Love Enough"" (JDRF Celebrity Version)",Non-album single,2009.0,Heidi Newfield
"""You Can't Say Love Enough"" (JDRF Celebrity Version)",Non-album single,2009.0,Wayne Newton
You Don't Knock,The Complete Trio Collection,2016.0,Emmylou Harris
You Don't Knock,The Complete Trio Collection,2016.0,Linda Ronstadt
(You Got Me Over) A Heartache Tonight,Slow Dancing with the Moon,1993.0,Billy Dean
You'll Never Be the Sun,Trio II,1999.0,Emmylou Harris
You've Lost That Lovin' Feeling,Up on the Roof: Songs from the Brill Building,1993.0,Neil Diamond
Your Kisses Are Charity,Cold Shoulder,1999.0,Culture Club
Yours Love,"Always, Always",1969.0,Porter Wagoner
A Bridge Across,This Is My America,2008.0,Tom McBryde
A Fool Like Me,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Linda Carol Moore
A Lil' Ole Bitty Pissant Country Place,The Best Little Whorehouse in Texas,1982.0,Carol Hall
