Award,Year,Category,Original,Status,Song / Album / Movie Title,Type
Nashville Songwriters Association International,1975,Songwriter Achievement Award,"""Love Is Like a Butterfly""",Won,Love Is Like a Butterfly,Composition
Nashville Songwriters Association International,1975,Songwriter Achievement Award,"""Kentucky Gambler"" (performed by Merle Haggard)",Won,Kentucky Gambler,Composition
Grammy Awards,1975,"Best Country Vocal Performance, Female","""Jolene""",Nominated,Jolene,Solo Performance
Country Music Association Awards,1975,Female Vocalist of the Year,Dolly Parton,Won,General,Solo Performance
Country Music Association Awards,1975,Vocal Duo of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1975,Duet of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1975,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
Cashbox Awards,1975,Top Female Vocalist – Singles,Dolly Parton,Won,General,Solo Performance
Cashbox Awards,1975,Top Duo – Singles,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
BMI Awards,1975,Country Award,"""I Will Always Love You""",Won,I Will Always Love You,Song
BMI Awards,1975,Country Award,"""Kentucky Gambler""",Won,Kentucky Gambler,Song
BMI Awards,1975,Country Award,"""Love Is Like a Butterfly""",Won,Love Is Like a Butterfly,Song
BMI Awards,1975,Country Award,"""Please Don't Stop Loving Me"" (with Porter Wagoner)",Won,Please Don't Stop Loving Me,Song
Academy of Country Music Awards,1975,Top Vocal Group,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
Academy of Country Music Awards,1975,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
Nashville Songwriters Association International,1976,Songwriter Achievement Award,"""The Seeker""",Won,The Seeker,Composition
Grammy Awards,1976,"Best Country Vocal Performance, Female","""Jolene"" (Live)",Nominated,Jolene,Solo Performance
Country Music Association Awards,1976,Female Vocalist of the Year,Dolly Parton,Won,General,Solo Performance
Country Music Association Awards,1976,Entertainer of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1976,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
BMI Awards,1976,Country Award,"""Say Forever You'll Be Mine"" (with Porter Wagoner)",Won,Say Forever You'll Be Mine,Song
BMI Awards,1976,Country Award,"""The Bargain Store""",Won,The Bargain Store,Song
BMI Awards,1976,Country Award,"""The Seeker""",Won,The Seeker,Song
Academy of Country Music Awards,1976,Top Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
Record World Awards,1977,Top Female Vocalist — Album,Dolly Parton,Won,General,Solo Performance
Grammy Awards,1977,"Best Country Vocal Performance, Female",All I Can Do,Nominated,All I Can Do,Solo Performance
Country Music Association Awards,1977,Entertainer of the Year,Dolly Parton,Nominated,General,Solo Performance
Country Music Association Awards,1977,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1977,Album of the Year,New Harvest...First Gathering,Nominated,New Harvest...First Gathering,Album
Cashbox Awards,1977,Female Entertainer of the Year – Country Albums,Dolly Parton,Won,General,Solo Performance
Cashbox Awards,1977,Female Vocalist of the Year – Country Albums,Dolly Parton,Won,General,Solo Performance
Cashbox Awards,1977,Female Vocalist of the Year – Country Singles,Dolly Parton,Won,General,Solo Performance
BMI Awards,1977,Country Award,"""All I Can Do""",Won,All I Can Do,Song
American Music Awards,1977,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1977,Top Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
Primetime Emmy Awards,1978,Outstanding Individual Performance in a Variety or Music Program,Cher... Special,Nominated,Cher... Special,Solo Performance
Grammy Awards,1978,"Best Pop Vocal Performance, Female","""Here You Come Again""",Nominated,Here You Come Again,Solo Performance
Grammy Awards,1978,"Best Country Vocal Performance, Female","""(Your Love Has Lifted Me) Higher and Higher""",Nominated,(Your Love Has Lifted Me) Higher and Higher,Solo Performance
Country Music Association Awards,1978,Entertainer of the Year,Dolly Parton,Won,General,Solo Performance
Country Music Association Awards,1978,Album of the Year,Here You Come Again,Nominated,Here You Come Again,Album
Country Music Association Awards,1978,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
Country Music Association Awards,1978,Single of the Year,"""Here You Come Again""",Nominated,Here You Come Again,Song
CMT Music Awards,1978,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1978,Songwriter of the Year,Dolly Parton,Nominated,General,Composition
Cashbox Awards,1978,Crossover Artist of the Year,Dolly Parton,Won,General,Solo Performance
Cashbox Awards,1978,Female Entertainer of the Year – Country Albums,Dolly Parton,Won,General,Solo Performance
Cashbox Awards,1978,Female Vocalist of the Year – Country Albums,Dolly Parton,Won,General,Solo Performance
Cashbox Awards,1978,Female Vocalists – Highest Debut,"""Heartbreaker""",Won,Heartbreaker,Song
BMI Awards,1978,Country Award,"""Light of a Clear Blue Morning""",Won,Light of a Clear Blue Morning,Song
BMI Awards,1978,Country Award,"""To Daddy"" (performed by Emmylou Harris)",Won,To Daddy,Composition
BMI Awards,1978,Country Award,"""Two Doors Down""",Won,Two Doors Down,Song
BMI Awards,1978,Pop Award / Million-Air,"""Two Doors Down""",Won,Two Doors Down,Song
Billboard,1978,Country Artist of the Year,Dolly Parton,Won,General,Solo Performance
Billboard,1978,Country Singles Artist of the Year,Dolly Parton,Won,General,Solo Performance
Billboard,1978,Bill Williams Memorial Artist of the Year,Dolly Parton,Won,General,Solo Performance
American Music Awards,1978,Favorite Country Album,New Harvest...First Gathering,Won,New Harvest...First Gathering,Album
American Music Awards,1978,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
American Guild of Variety Artists Awards,1978,Country Star of the Year,Dolly Parton,Won,General,Solo Performance
Academy of Country Music Awards,1978,Entertainer of the Year,Dolly Parton,Won,General,Solo Performance
Academy of Country Music Awards,1978,Top Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1978,Album of the Year – Artist,Here You Come Again,Nominated,Here You Come Again,Album
Nashville Songwriters Association International,1979,Songwriter Achievement Award,"""Two Doors Down""",Won,Two Doors Down,Composition
Grammy Awards,1979,"Best Country Vocal Performance, Female",Here You Come Again,Won,Here You Come Again,Solo Performance
CMT Music Awards,1979,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
Cashbox Awards,1979,Composer/Performer of the Year,Dolly Parton,Won,General,Composition
BMI Awards,1979,Country Award,"""Baby I'm Burning""",Won,Baby I'm Burning,Song
BMI Awards,1979,Pop Award,"""Baby I'm Burning""",Won,Baby I'm Burning,Song
BMI Awards,1979,Country Award,"""It's All Wrong, But It's All Right""",Won,"It's All Wrong, But It's All Right",Song
BMI Awards,1979,Country Award,"""Two Doors Down""",Won,Two Doors Down,Song
American Music Awards,1979,Favorite Country Album,Here You Come Again,Nominated,Here You Come Again,Album
American Music Awards,1979,Favorite Country Song,"""Here You Come Again""",Nominated,Here You Come Again,Song
American Guild of Variety Artists Awards,1979,Country Star of the Year,Dolly Parton,Won,General,Solo Performance
Academy of Country Music Awards,1979,Entertainer of the Year,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1979,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
American Music Awards,1980,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
American Guild of Variety Artists Awards,1980,Country Star of the Year,Dolly Parton,Won,General,Solo Performance
American Guild of Variety Artists Awards,1980,Entertainer of the Year,Dolly Parton,Won,General,Solo Performance
Academy of Country Music Awards,1980,Song of the Year – Artist,"""You're the Only One""",Nominated,You're the Only One,Song
Academy of Country Music Awards,1980,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
People's Choice Awards,1981,Favorite Song from a Motion Picture,"""9 to 5"" from 9 to 5",Won,9 to 5,Song
Golden Globe Awards,1981,Best Motion Picture Actress – Musical/Comedy,Dolly Parton as Doralee Rhodes in 9 to 5,Nominated,General,Acting
Golden Globe Awards,1981,Best Original Song,"""9 to 5"" from 9 to 5",Nominated,9 to 5,Song
Golden Globe Awards,1981,New Star of the Year in a Motion Picture – Female,Dolly Parton as Doralee Rhodes in 9 to 5,Nominated,General,Acting
Country Music Association Awards,1981,Album of the Year,9 to 5 and Odd Jobs,Nominated,9 to 5 and Odd Jobs,Album
CMT Music Awards,1981,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
BMI Awards,1981,Country Award,"""9 to 5""",Won,9 to 5,Song
BMI Awards,1981,Country Song of the Year,"""9 to 5""",Won,9 to 5,Song
BMI Awards,1981,Pop Award / Million-Air (3 million),"""9 to 5""",Won,9 to 5,Song
BMI Awards,1981,Pop Song of the Year,"""9 to 5""",Won,9 to 5,Song
Billboard,1981,Distinguished Achievement Award,Dolly Parton,Won,General,Achievement
Academy of Country Music Awards,1981,Top Female Vocalist,Dolly Parton,Won,General,Solo Performance
Academy of Country Music Awards,1981,Entertainer of the Year,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1981,Song of the Year – Artist,"""9 to 5""",Nominated,9 to 5,Song
Academy of Country Music Awards,1981,Single Record of the Year – Artist,"""9 to 5""",Nominated,9 to 5,Song
Academy Awards,1981,Best Original Song,"""9 to 5"" from 9 to 5",Nominated,9 to 5,Song
Nashville Songwriters Association International,1982,Songwriter Achievement Award,"""9 to 5""",Won,9 to 5,Composition
Grammy Awards,1982,Song of the Year,"""9 to 5""",Nominated,9 to 5,Song
Grammy Awards,1982,"Best Country Vocal Performance, Female","""9 to 5""",Won,9 to 5,Solo Performance
Grammy Awards,1982,Best Country Song,"""9 to 5""",Won,9 to 5,Song
Grammy Awards,1982,Best Album of Original Score Written for a Motion Picture or Television Special,9 to 5 (Original Motion Picture Soundtrack),Nominated,9 to 5,Album
Fennecus Awards,1982,Best Song Score,The Best Little Whorehouse in Texas (with Carol Hall and Patrick Williams),Nominated,The Best Little Whorehouse in Texas,Song
BMI Awards,1982,Country Award,"""Heartbreak Express""",Won,Heartbreak Express,Song
BMI Awards,1982,Pop Award,"""I Will Always Love You""",Won,I Will Always Love You,Song
BMI Awards,1982,Country Award,"""9 to 5""",Won,9 to 5,Song
American Music Awards,1982,Favorite Pop/Rock Female Artist,Dolly Parton,Nominated,General,Solo Performance
American Music Awards,1982,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1982,Entertainer of the Year,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1982,Album of the Year – Artist,9 to 5 and Odd Jobs,Nominated,9 to 5 and Odd Jobs,Album
Grammy Awards,1983,"Best Country Vocal Performance, Female","""I Will Always Love You""",Nominated,I Will Always Love You,Solo Performance
BMI Awards,1983,Country Award,"""Everything's Beautiful (In Its Own Way)"" (with Willie Nelson)",Won,Everything's Beautiful (In Its Own Way),Song
BMI Awards,1983,Pop Award,"""Everything's Beautiful (In Its Own Way)"" (with Willie Nelson)",Won,Everything's Beautiful (In Its Own Way),Song
BMI Awards,1983,Country Award,"""Heartbreak Express""",Won,Heartbreak Express,Song
BMI Awards,1983,Country Award,"""I Will Always Love You""",Won,I Will Always Love You,Song
Grammy Awards,1984,Best Pop Performance by a Duo or Group,"""Islands in the Stream"" with Kenny Rogers)",Nominated,Islands in the Stream,Collaborative Performance
Grammy Awards,1984,"Best Country Vocal Performance, Female",Burlap & Satin,Nominated,Burlap & Satin,Solo Performance
Golden Globe Awards,1984,Best Motion Picture Actress – Musical/Comedy,Dolly Parton as Mona Stangley in The Best Little Whorehouse in Texas,Nominated,General,Acting
Country Music Association Awards,1984,Single of the Year,"""Islands in the Stream"" (with Kenny Rogers)",Nominated,Islands in the Stream,Song
Country Music Association Awards,1984,Vocal Duo of the Year,Kenny Rogers and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1984,Duet of the Year,Kenny Rogers and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1984,Single of the Year,"""Islands in the Stream"" (with Kenny Rogers)",Nominated,Islands in the Stream,Song
American Music Awards,1984,Favorite Country Song,"""Islands in the Stream"" (with Kenny Rogers)",Won,Islands in the Stream,Song
American Music Awards,1984,Favorite Country Band/Duo/Group,Kenny Rogers and Dolly Parton,Nominated,General,Collaborative Performance
American Music Awards,1984,Favorite Country Video,"""Potential New Boyfriend""",Nominated,Potential New Boyfriend,Videography
Academy of Country Music Awards,1984,Single Record of the Year – Artist,"""Islands in the Stream"" (with Kenny Rogers)",Won,Islands in the Stream,Song
Academy of Country Music Awards,1984,Top Vocal Duet,Kenny Rogers and Dolly Parton,Won,General,Collaborative Performance
Hollywood Chamber of Commerce,1984,Star on Hollywood Walk of Fame (Dolly Parton),Dolly Parton,Won,General,Achievement
Grammy Awards,1985,"Best Country Vocal Performance, Female","""Tennessee Homesick Blues""",Nominated,Tennessee Homesick Blues,Solo Performance
Golden Raspberry Awards,1985,Worst Original Song,"""Drinkin'stein"" from Rhinestone",Won,Drinkin'stein,Song
Golden Raspberry Awards,1985,Worst Original Song,"""Sweet Lovin' Friends"" from Rhinestone",Nominated,Sweet Lovin' Friends,Song
Golden Raspberry Awards,1985,Worst Musical Score,Rhinestone,Nominated,Rhinestone,Album
Country Music Association Awards,1985,Vocal Duo of the Year,Kenny Rogers and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1985,Duet of the Year,Kenny Rogers and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1985,TV Special the Year,Kenny & Dolly: Real Love,Nominated,Kenny & Dolly: Real Love,Acting
Canadian Country Music Association,1985,Top Selling Album of the Year,Once Upon a Christmas (with Kenny Rogers),Won,Once Upon a Christmas,Album
BMI Awards,1985,Country Award,"""Tennessee Homesick Blues""",Won,Tennessee Homesick Blues,Song
American Music Awards,1985,Favorite Country Song,"""Islands in the Stream"" (with Kenny Rogers)",Won,Islands in the Stream,Song
American Music Awards,1985,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1985,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
Ms. Magazine,1986,Woman of the Year,Dolly Parton,Won,General,Philanthropy
Grammy Awards,1986,"Best Country Vocal Performance, Female",Real Love,Nominated,Real Love,Solo Performance
Grammy Awards,1986,Best Country Vocal Performance by a Duo or Group,"""Real Love"" (with Kenny Rogers)",Nominated,Real Love,Collaborative Performance
Country Music Association Awards,1986,Vocal Duo of the Year,Kenny Rogers and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1986,Duet of the Year,Kenny Rogers and Dolly Parton,Nominated,General,Collaborative Performance
American Music Awards,1986,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
Country Music Association Awards,1987,Album of the Year,Trio (with Emmylou Harris and Linda Ronstadt),Nominated,Trio,Album
Country Music Association Awards,1987,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1987,TV Special of the Year,A Smoky Mountain Christmas,Nominated,A Smoky Mountain Christmas,Acting
People's Choice Awards,1988,Favorite Female Performer in a New TV Program,Dolly Parton in Dolly,Won,General,Acting
People's Choice Awards,1988,Favorite All-Around Female Entertainer,Dolly Parton,Won,General,Solo Performance
Grammy Awards,1988,Best Country Vocal Performance by a Duo or Group,Trio (with Emmylou Harris and Linda Ronstadt),Won,Trio,Collaborative Performance
Grammy Awards,1988,Album of the Year,Trio (with Emmylou Harris and Linda Ronstadt),Nominated,Trio,Album
Country Music Association Awards,1988,Vocal Event of the Year,"Trio (Dolly Parton, Emmylou Harris and Linda Ronstadt)",Won,Trio,Collaborative Performance
CMT Music Awards,1988,Vocal Collaboration of the Year,Trio (with Emmylou Harris and Linda Ronstadt),Won,Trio,Collaborative Performance
CMT Music Awards,1988,Album of the Year,Trio (with Emmylou Harris and Linda Ronstadt),Won,Trio,Album
CMT Music Awards,1988,TV Series the Year,Dolly,Nominated,General,Acting
Academy of Country Music Awards,1988,Album of the Year – Artist,Trio (with Emmylou Harris and Linda Ronstadt),Won,Trio,Album
East Tennessee Educational Association Convention,1988,Guest Speaker,Dolly Parton,Won,General,Achievement
East Tennessee Hall of Fame for the Performing Arts,1988,Inducted,Dolly Parton,Won,General,Achievement
New Orleans Mardi Gras Parade,1988,Grand Marshall,Dolly Parton,Won,General,Achievement
Small Town of America Hall of Fame,1988,Inducted,Dolly Parton,Won,General,Achievement
StarWalk,1988,Inducted,Dolly Parton,Won,General,Achievement
Sevierville Chamber of Commerce,1989,Citizen of the Year,Dolly Parton,Won,General,Philanthropy
Country Music Association Awards,1989,Music Video of the Year,"""Why'd You Come in Here Lookin' Like That""",Nominated,Why'd You Come in Here Lookin' Like That,Videography
Grammy Awards,1990,"Best Country Vocal Performance, Female","""Why'd You Come in Here Lookin' Like That""",Nominated,Why'd You Come in Here Lookin' Like That,Solo Performance
CMT Music Awards,1990,Video of the Year,"""Why'd You Come in Here Lookin' Like That""",Nominated,Why'd You Come in Here Lookin' Like That,Videography
BMI Awards,1990,Country Award,"""Yellow Roses""",Won,Yellow Roses,Song
American Music Awards,1990,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1990,Country Music Video of the Year – Artist,"""Why'd You Come in Here Lookin' Like That""",Nominated,Why'd You Come in Here Lookin' Like That,Videography
Academy of Country Music Awards,1990,Entertainer of the Year,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1990,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
Carson–Newman College,1990,Honorary Doctorate of Letters Degree,Dolly Parton,Won,General,Achievement
National Drop-Out Prevention Conference,1990,Guest Speaker,Dolly Parton,Won,General,Achievement
Nashville Songwriters Association International,1991,Songwriter Achievement Award,"""Eagle When She Flies""",Won,Eagle When She Flies,Composition
Country Music Association Awards,1991,Vocal Event of the Year,Dolly Parton and Ricky Van Shelton,Nominated,General,Solo Performance
Academy of Country Music Awards,1991,Entertainer of the Year,Dolly Parton,Nominated,General,Solo Performance
People's Choice Awards,1992,Favorite Female Country Artist,Dolly Parton,Nominated,General,Solo Performance
Nashville Songwriters Association International,1992,Songwriter Achievement Award,"""I Will Always Love You"" (performed by Whitney Houston)",Won,I Will Always Love You,Composition
Grammy Awards,1992,Best Country Vocal Collaboration,"""Rockin' Years"" (with Ricky Van Shelton)",Nominated,Rockin' Years,Collaborative Performance
Grammy Awards,1992,Best Country Song,"""Eagle When She Flies""",Nominated,Eagle When She Flies,Song
CMT Music Awards,1992,Vocal Collaboration of the Year,"""Rockin' Years"" (with Ricky Van Shelton)",Won,Rockin' Years,Collaborative Performance
CMT Music Awards,1992,Video of the Year,"""Rockin' Years"" (with Ricky Van Shelton)",Won,Rockin' Years,Videography
American Music Awards,1992,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1992,Top Vocal Duet,Dolly Parton and Ricky Van Shelton,Nominated,General,Collaborative Performance
American Academy of Achievement,1992,Inducted,Dolly Parton,Won,General,Achievement
People's Choice Awards,1993,Favorite Female Country Artist,Dolly Parton,Nominated,General,Solo Performance
BMI Awards,1993,Pop Award,"""I Will Always Love You"" (performed by Whitney Houston)",Won,I Will Always Love You,Song
BMI Awards,1993,Pop Song of the Year,"""I Will Always Love You"" (performed by Whitney Houston)",Won,I Will Always Love You,Song
Country Music Association,1993,Country Music Honors,Dolly Parton,Won,General,Achievement
Soul Train Music Awards,1994,Song of the Year,"""I Will Always Love You"" (performed by Whitney Houston)",Won,I Will Always Love You,Song
People's Choice Awards,1994,Favorite Female Country Artist,Dolly Parton,Nominated,General,Solo Performance
Grammy Awards,1994,Best Country Vocal Collaboration,"""Romeo"" (with Billy Ray Cyrus and Friends)",Nominated,Romeo,Collaborative Performance
Country Music Association Awards,1994,Album of the Year,Tribute to the Music of Bob Wills and the Texas Playboys (Asleep at the Wheel with various artists),Nominated,Tribute to the Music of Bob Wills and the Texas Playboys,Album
Country Music Association Awards,1994,Vocal Event of the Year,"Dolly Parton, Loretta Lynn and Tammy Wynette",Nominated,General,Collaborative Performance
CMT Video Awards,1994,Video Event of the Year,"""Romeo"" (with Billy Ray Cyrus and Friends)",Won,Romeo,Videography
CMT Music Awards,1994,Living Legend Award,Dolly Parton,Won,General,Achievement
CMT Music Awards,1994,Minnie Pearl Humanitarion Award,Dolly Parton,Won,General,Philanthropy
CMT Music Awards,1994,Vocal Event of the Year,"""Romeo"" (with Billy Ray Cyrus and Friends)",Won,Romeo,Collaborative Performance
CMT Music Awards,1994,Album of the Year,Honky Tonk Angels (with Loretta Lynn and Tammy Wynette),Nominated,Honky Tonk Angels,Album
CMT Music Awards,1994,Vocal Collaboration of the Year,Honky Tonk Angels (with Loretta Lynn and Tammy Wynette),Nominated,Honky Tonk Angels,Collaborative Performance
BMI Awards,1994,Pop Award,"""I Will Always Love You"" (performed by Whitney Houston)",Won,I Will Always Love You,Song
American Music Awards,1994,Favorite Country Female Artist,Dolly Parton,Nominated,General,Solo Performance
American Music Awards,1994,Favorite Country Song,"""Romeo""",Nominated,Romeo,Song
